numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,avgNumRequests,avgTamanhoResposta,avgTotalImageSize,avgRequestsJS,avgRequestsHTML,avgRequestsCSS,totalSilenceTime,avgSilenceTime,silenceCount,Label
45,1772954,1573751,8,2,7,4.5,177295.4,157375.1,0.8,0.2,0.7,189,63,3,0
26,1986678,1970655,0,4,0,2.6,198667.8,197065.5,0,0.4,0,123,41,3,0
27,1990365,1970655,0,5,0,2.7,199036.5,197065.5,0,0.5,0,230,57.5,4,0
27,1990365,1970655,0,5,0,2.7,199036.5,197065.5,0,0.5,0,230,57.5,4,0
20,1785532,1764331,0,5,0,2,178553.2,176433.1,0,0.5,0,203,50.75,4,0
35,1934298,1898207,0,8,0,3.5,193429.8,189820.7,0,0.8,0,290,36.25,8,0
26,912709,881188,0,7,0,2.6,91270.9,88118.8,0,0.7,0,227,32.42857143,7,0
25,909022,881188,0,6,0,2.5,90902.2,88118.8,0,0.6,0,138,23,6,0
37,1428954,1386685,0,11,0,3.7,142895.4,138668.5,0,1.1,0,259,19.92307692,13,0
32,675830,641322,0,9,0,3.2,67583,64132.2,0,0.9,0,240,20,12,0
92,5701539,5613618,1,8,1,9.2,570153.9,561361.8,0.1,0.8,0.1,244,24.4,10,0
129,6460075,6247167,15,9,5,12.9,646007.5,624716.7,1.5,0.9,0.5,211,19.18181818,11,0
129,6460075,6247167,15,9,5,12.9,646007.5,624716.7,1.5,0.9,0.5,211,19.18181818,11,0
153,5975124,5749020,43,9,5,15.3,597512.4,574902,4.3,0.9,0.5,280,31.11111111,9,0
149,5973175,5747071,43,9,5,14.9,597317.5,574707.1,4.3,0.9,0.5,181,22.625,8,0
77,1010901,848625,42,8,4,7.7,101090.1,84862.5,4.2,0.8,0.4,220,31.42857143,7,0
45,252403,215564,32,6,0,4.5,25240.3,21556.4,3.2,0.6,0,236,33.71428571,7,0
54,562883,513928,37,8,0,5.4,56288.3,51392.8,3.7,0.8,0,274,30.44444444,9,0
22,537971,509516,9,5,0,2.2,53797.1,50951.6,0.9,0.5,0,210,35,6,0
24,544897,511967,9,6,0,2.4,54489.7,51196.7,0.9,0.6,0,272,34,8,0
23,338834,306692,9,6,0,2.3,33883.4,30669.2,0.9,0.6,0,256,32,8,0
17,333613,306204,5,6,0,1.7,33361.3,30620.4,0.5,0.6,0,231,38.5,6,0
8,23133,7840,0,4,0,0.8,2313.3,784,0,0.4,0,144,36,4,0
5,15515,7353,0,2,0,0.5,1551.5,735.3,0,0.2,0,239,79.66666667,3,0
3,8589,4902,0,1,0,0.3,858.9,490.2,0,0.1,0,148,148,1,0
3,10085,4902,0,1,0,0.3,1008.5,490.2,0,0.1,0,117,117,1,0
4,11751,4902,0,1,0,0.4,1175.1,490.2,0,0.1,0,218,109,2,0
8,13701,6852,0,1,0,0.8,1370.1,685.2,0,0.1,0,221,73.66666667,3,0
9,29939,19935,0,2,0,0.9,2993.9,1993.5,0,0.2,0,210,70,3,0
9,29939,19935,0,2,0,0.9,2993.9,1993.5,0,0.2,0,210,70,3,0
12,31998,25324,0,2,0,1.2,3199.8,2532.4,0,0.2,0,208,41.6,5,0
11,30332,25324,0,2,0,1.1,3033.2,2532.4,0,0.2,0,205,51.25,4,0
7,28382,23374,0,2,0,0.7,2838.2,2337.4,0,0.2,0,99,33,3,0
13,109157,7840,5,2,0,1.3,10915.7,784,0.5,0.2,0,221,44.2,5,0
27,126218,12740,15,4,0,2.7,12621.8,1274,1.5,0.4,0,260,37.14285714,7,0
42,138916,12250,29,6,0,4.2,13891.6,1225,2.9,0.6,0,115,16.42857143,7,0
47,169024,27784,29,9,0,4.7,16902.4,2778.4,2.9,0.9,0,188,20.88888889,9,0
49,174629,30234,29,9,0,4.9,17462.9,3023.4,2.9,0.9,0,239,21.72727273,11,0
46,82893,36109,24,9,0,4.6,8289.3,3610.9,2.4,0.9,0,233,21.18181818,11,0
33,69519,31209,14,8,0,3.3,6951.9,3120.9,1.4,0.8,0,288,28.8,10,0
17,49078,25809,0,5,0,1.7,4907.8,2580.9,0,0.5,0,233,29.125,8,0
13,22125,10275,0,3,0,1.3,2212.5,1027.5,0,0.3,0,265,37.85714286,7,0
19,20418,11723,0,3,0,1.9,2041.8,1172.3,0,0.3,0,287,47.83333333,6,0
42,214873,103254,19,7,0,4.2,21487.3,10325.4,1.9,0.7,0,228,32.57142857,7,0
41,211186,103254,19,6,0,4.1,21118.6,10325.4,1.9,0.6,0,226,37.66666667,6,0
38,209724,101792,19,6,0,3.8,20972.4,10179.2,1.9,0.6,0,235,39.16666667,6,0
