numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,avgNumRequests,avgTamanhoResposta,avgTotalImageSize,avgRequestsJS,avgRequestsHTML,avgRequestsCSS,totalSilenceTime,avgSilenceTime,silenceCount,Label
623,13126585,10198227,173,42,151,62.3,1312658.5,1019822.7,17.3,4.2,15.1,287.0,7.0,41,1
631,13820886,10948371,173,42,153,63.1,1382088.6,1094837.1,17.3,4.2,15.3,288.0,7.024390243902439,41,1
625,13317607,10412877,169,41,154,62.5,1331760.7,1041287.7,16.9,4.1,15.4,282.0,7.05,40,1
414,9795208,7868718,121,30,98,41.4,979520.8,786871.8,12.1,3.0,9.8,291.0,10.03448275862069,29,1
410,10051224,8157436,121,30,99,41.0,1005122.4,815743.6,12.1,3.0,9.9,291.0,10.03448275862069,29,1
367,8511352,6776226,110,30,92,36.7,851135.2,677622.6,11.0,3.0,9.2,290.0,10.0,29,1
406,10600455,8799682,112,30,96,40.6,1060045.5,879968.2,11.2,3.0,9.6,290.0,10.0,29,1
384,11161946,9434208,101,29,91,38.4,1116194.6,943420.8,10.1,2.9,9.1,280.0,10.0,28,1
438,13708222,11797476,105,29,102,43.8,1370822.2,1179747.6,10.5,2.9,10.2,280.0,10.0,28,1
436,14068506,12193400,100,29,100,43.6,1406850.6,1219340.0,10.0,2.9,10.0,280.0,10.0,28,1
506,16163075,14014957,115,29,111,50.6,1616307.5,1401495.7,11.5,2.9,11.1,280.0,10.0,28,1
535,17325523,14986972,127,29,121,53.5,1732552.3,1498697.2,12.7,2.9,12.1,280.0,10.0,28,1
565,17864951,15437110,130,30,128,56.5,1786495.1,1543711.0,13.0,3.0,12.8,290.0,10.0,29,1
507,14759464,12537340,121,30,123,50.7,1475946.4,1253734.0,12.1,3.0,12.3,290.0,10.0,29,1
488,13587392,11387789,118,30,119,48.8,1358739.2,1138778.9,11.8,3.0,11.9,290.0,10.0,29,1
423,11288435,9301423,109,30,112,42.3,1128843.5,930142.3,10.9,3.0,11.2,290.0,10.0,29,1
377,8689015,6861708,100,30,101,37.7,868901.5,686170.8,10.0,3.0,10.1,290.0,10.0,29,1
321,6556110,4876118,90,29,89,32.1,655611.0,487611.8,9.0,2.9,8.9,280.0,10.0,28,1
318,6689160,5039008,88,29,84,31.8,668916.0,503900.8,8.8,2.9,8.4,282.0,10.071428571428571,28,1
326,6844555,5129394,95,29,88,32.6,684455.5,512939.4,9.5,2.9,8.8,282.0,10.071428571428571,28,1
382,9092551,7106578,108,29,98,38.2,909255.1,710657.8,10.8,2.9,9.8,282.0,10.071428571428571,28,1
350,7870891,5957641,103,29,94,35.0,787089.1,595764.1,10.3,2.9,9.4,282.0,10.071428571428571,28,1
408,10746667,8710036,116,30,100,40.8,1074666.7,871003.6,11.6,3.0,10.0,291.0,10.03448275862069,29,1
409,10984683,8889408,115,30,103,40.9,1098468.3,888940.8,11.5,3.0,10.3,290.0,10.0,29,1
440,12637954,10469460,122,30,103,44.0,1263795.4,1046946.0,12.2,3.0,10.3,290.0,10.0,29,1
421,12583085,10589296,113,30,92,42.1,1258308.5,1058929.6,11.3,3.0,9.2,290.0,10.0,29,1
478,14815218,12666576,125,29,100,47.8,1481521.8,1266657.6,12.5,2.9,10.0,280.0,10.0,28,1
485,14359293,12173011,128,29,103,48.5,1435929.3,1217301.1,12.8,2.9,10.3,280.0,10.0,28,1
503,14470952,12166376,142,29,110,50.3,1447095.2,1216637.6,14.2,2.9,11.0,280.0,10.0,28,1
531,14603681,12086500,152,29,121,53.1,1460368.1,1208650.0,15.2,2.9,12.1,280.0,10.0,28,1
534,14470974,11852684,157,29,128,53.4,1447097.4,1185268.4,15.7,2.9,12.8,281.0,10.035714285714286,28,1
514,14037975,11509432,149,30,122,51.4,1403797.5,1150943.2,14.9,3.0,12.2,291.0,10.03448275862069,29,1
477,13233871,10973462,135,30,116,47.7,1323387.1,1097346.2,13.5,3.0,11.6,291.0,10.03448275862069,29,1
460,13015037,10882087,124,30,109,46.0,1301503.7,1088208.7,12.4,3.0,10.9,291.0,10.03448275862069,29,1
433,11620788,9521852,117,30,104,43.3,1162078.8,952185.2,11.7,3.0,10.4,292.0,10.06896551724138,29,1
403,10174237,8143341,109,29,103,40.3,1017423.7,814334.1,10.9,2.9,10.3,281.0,10.035714285714286,28,1
424,11525872,9461941,110,29,113,42.4,1152587.2,946194.1,11.0,2.9,11.3,281.0,10.035714285714286,28,1
442,10779016,8463524,124,29,122,44.2,1077901.6,846352.4,12.4,2.9,12.2,281.0,10.035714285714286,28,1
444,10726272,8433410,125,29,119,44.4,1072627.2,843341.0,12.5,2.9,11.9,281.0,10.035714285714286,28,1
439,11462670,9294209,121,29,114,43.9,1146267.0,929420.9,12.1,2.9,11.4,280.0,10.0,28,1
479,12279921,9980773,132,30,120,47.9,1227992.1,998077.3,13.2,3.0,12.0,290.0,10.0,29,1
457,10273879,7868503,142,30,112,45.7,1027387.9,786850.3,14.2,3.0,11.2,290.0,10.0,29,1
447,10716330,8461848,131,30,108,44.7,1071633.0,846184.8,13.1,3.0,10.8,290.0,10.0,29,1
472,12437877,10100087,138,30,110,47.2,1243787.7,1010008.7,13.8,3.0,11.0,290.0,10.0,29,1
477,11928623,9566644,140,30,117,47.7,1192862.3,956664.4,14.0,3.0,11.7,290.0,10.0,29,1
431,10622132,8483163,130,29,103,43.1,1062213.2,848316.3,13.0,2.9,10.3,280.0,10.0,28,1
425,10684913,8668168,114,29,102,42.5,1068491.3,866816.8,11.4,2.9,10.2,280.0,10.0,28,1
437,12246769,10152462,118,29,99,43.7,1224676.9,1015246.2,11.8,2.9,9.9,280.0,10.0,28,1
438,11605880,9411904,117,29,106,43.8,1160588.0,941190.4,11.7,2.9,10.6,280.0,10.0,28,1
426,11658953,9504541,113,29,99,42.6,1165895.3,950454.1,11.3,2.9,9.9,280.0,10.0,28,1
508,13920653,11502629,130,30,122,50.8,1392065.3,1150262.9,13.0,3.0,12.2,291.0,10.03448275862069,29,1
493,12603463,10226121,135,30,127,49.3,1260346.3,1022612.1,13.5,3.0,12.7,291.0,10.03448275862069,29,1
439,9841758,7730725,122,30,117,43.9,984175.8,773072.5,12.2,3.0,11.7,292.0,10.06896551724138,29,1
430,9080085,7111252,121,30,112,43.0,908008.5,711125.2,12.1,3.0,11.2,292.0,10.06896551724138,29,1
455,9051751,6906500,133,29,121,45.5,905175.1,690650.0,13.3,2.9,12.1,282.0,10.071428571428571,28,1
435,9739873,7744038,120,29,108,43.5,973987.3,774403.8,12.0,2.9,10.8,281.0,10.035714285714286,28,1
452,12100121,10213507,112,29,103,45.2,1210012.1,1021350.7,11.2,2.9,10.3,281.0,10.035714285714286,28,1
505,14559771,12477806,126,29,116,50.5,1455977.1,1247780.6,12.6,2.9,11.6,281.0,10.035714285714286,28,1
533,15609086,13446225,129,29,123,53.3,1560908.6,1344622.5,12.9,2.9,12.3,281.0,10.035714285714286,28,1
486,19462204,17489364,118,30,101,48.6,1946220.4,1748936.4,11.8,3.0,10.1,290.0,10.0,29,1
449,16061626,14106246,119,30,107,44.9,1606162.6,1410624.6,11.9,3.0,10.7,290.0,10.0,29,1
451,16379978,14570654,113,29,108,45.1,1637997.8,1457065.4,11.3,2.9,10.8,281.0,10.035714285714286,28,1
399,11318863,9441121,119,29,108,39.9,1131886.3,944112.1,11.9,2.9,10.8,281.0,10.035714285714286,28,1
357,7909228,6148546,116,29,100,35.7,790922.8,614854.6,11.6,2.9,10.0,281.0,10.035714285714286,28,1
349,7944337,6235192,106,29,102,34.9,794433.7,623519.2,10.6,2.9,10.2,281.0,10.035714285714286,28,1
370,7832437,6053854,111,29,104,37.0,783243.7,605385.4,11.1,2.9,10.4,281.0,10.035714285714286,28,1
333,6585655,4938971,101,30,94,33.3,658565.5,493897.1,10.1,3.0,9.4,290.0,10.0,29,1
347,6941843,5311472,99,29,96,34.7,694184.3,531147.2,9.9,2.9,9.6,280.0,10.0,28,1
365,8274923,6527742,107,29,99,36.5,827492.3,652774.2,10.7,2.9,9.9,280.0,10.0,28,1
339,8700920,7129671,96,29,87,33.9,870092.0,712967.1,9.6,2.9,8.7,280.0,10.0,28,1
310,7179464,5600498,91,29,85,31.0,717946.4,560049.8,9.1,2.9,8.5,280.0,10.0,28,1
350,8792679,7100718,100,29,91,35.0,879267.9,710071.8,10.0,2.9,9.1,280.0,10.0,28,1
344,9284602,7560468,101,30,88,34.4,928460.2,756046.8,10.1,3.0,8.8,290.0,10.0,29,1
335,7780285,5903712,106,30,95,33.5,778028.5,590371.2,10.6,3.0,9.5,291.0,10.03448275862069,29,1
344,6593710,4511426,121,30,101,34.4,659371.0,451142.6,12.1,3.0,10.1,291.0,10.03448275862069,29,1
